article_number,article_name,category
7318690185277,*Makrill i tomats,
8001665128681,*Tortellini ski&ost,
8001665128674,*Tortelloni Ricotta,
7350049150833,Whey-80 Jordgubb,
8005510001549,XJungfru Delicato,
2386660200000,Biskopsost Brän31%,
7622300589882,Cookies mjölkchokl,
3415582300924,Häagen Dazs Duo,
7622201636807,Soft Inside,
7310760012315,Gran Dia Brygg,
7622201099374,Havssalt,
7318690051596,Potatis färsk,
7311311004865,Svartpeppar hel,
7318690489801,*Gr.äpp/Lime ÅP,
2330063300000,Flapsteak,
8680417214232,Mahmood Sella,
4728,Potatis fast,
5711953161643,Daily Brew Vanilla,
7310401052625,*Hallon Rab ÅP,
7310401000053,*Loka Citron,
7350058336082,Energdr Jungle V B,
7350021422194,*Coconut water,
7318693360336,Morot små ICA,
7318690102366,Te chai,
7318690174646,Guacamole,
7318690515999,Köttbullar o mos,
7310865003775,Creme fraiche 32%,
7340063010800,Kielbasa,
7311379532058,Korvbröd 16-pack,
87157635,Tomatketchup,
6416710301407,Halloumi,
7622300544010,*Chokladkaka sea sa,
7350060704411,Pizza Capricciosa,
7350060704404,Pizza Salami,
7318690089766,Vitvinsvinäger,
9005,ost-chiaruta 90g,
7310865093981,Proteinmjölk blåb,
7340063012804,Chili cheddar grill,
7046110315347,Flytande Handtvätt,
7311070006339,Gifflar Raspberry,
7318690085034,ICA B Sm&bak ark24,
5701017415539,Klorrent,
7313619002161,Litchi Lemonade,
5701098051169,Ugn/Grill Cleaner,
7318690094739,Dijonsenap,
7350076437709,Gullök påse,
2328018900000,Flanksteak,
7318690140412,Lätt Creme Fraiche,
7310500000404,Pasta Alfredo,
7310070006493,*Svarta vinbär,
7310070004468,*Vatten Päron,
7318690182412,Bacon tärnad,
2212,Grekisk lantfralla,
7310865093998,Proteinmjölk vani,
7350000551396,Ananas äpp inge NS,
8906063130512,Druva grön kf ICA,
7310867563215,Fruktdryck Ape/Äpp,
2340420600000,Götene Hushållsost,
7312338009109,Långrökt skinka,
5760466642019,Vitost hel bit 17%,
7300328192009,Kycklingfilé BBQ,
7310401000091,Loka Päron 1.5l,
7318690508991,Nötfärs 12%,
7332456000901,T-Bone Steak,
7318690053736,Hamb.ost m cheddar,
7316150670271,Olivolja Classico,
7310401046785,*Mango Lime,
7313130162580,Flaskborste 50mm,
4016241050311,yog jordgubbe 0.2%,
5711953168116,Mild Blue,
2331641700000,Valätt 10%,
7350013136931,Viltfångad laxsida,
8445290143754,Vätske Skogsbär,
7318690513704,Fettuccine,
7318690516408,Färskkorv Folkeost,
8006540956571,*Platinum Original,
7350155160245,Stockholms Lemonad,
2386660400000,Prästost 5-7m 31%,
7318690128106,Skavsårsplåster,
7318690115168,Lättmjölk 0.5%,
7310401042985,*Jordg Granatäpple,
7318690509233,Lammfärs 20%,
7340131603781,*Energdr Berruba,
6430048448405,Jordgubb Vanilj gla,
7340131603804,*Summer 2,
8435320605017,Babyplommon tomat,
7350089431213,Fresh Soda,
17960,Grp art Chark,
7310090394167,Ice Tea Peach&Love,
7350025540047,Grill kyckling stp,
4664,Tomat röd kvist,
8436534684850,Babyplommon tomat,
7622210865335,*Dubbelnougat,
5711953153846,Kvarg naturel 0.2%,
6430048449464,Smörkola & Crunch,
7318690509219,Kalvfärs 15%,
4016241050557,Kvarg pers&pass,
50112814,*Pwrade Citr/Lime,
7310375547707,Tandb Prof soft,
2330071100000,Flapsteak mörnings,
7318690509608,*Handtvål Lemon Spa,
7318690513889,Tortellini pros GL,
7350056793030,Turkiskt Yoghurt,
6111255910724,Babyplommon tomater,
7318690491712,Bulgur grönsaksmix,
7350027793731,Mozza buff capana,
7350058336211,Summer Vibe,
7315720071036,Honung krav,
7312338007839,Kyckling cit&timja,
5711953070266,Brie ex creamy 39%,
7350100521077,Tonic Botanical,
7350100521084,Tonic Midsummer,
2319143300000,Lövbiff,
8002670008890,Mozz High Protein,
